wpm,raw,accuracy,consistency,date
113.45,123.83,95.48%,85.57%,21 Jun 2023  16:23
143.9,143.9,100.00%,65.45%,21 Jun 2023  16:20
106.33,112.72,97.89%,81.16%,20 Jun 2023  16:45
127.2,132.8,97.59%,86.21%,20 Jun 2023  16:44
91.94,110.33,90.71%,78.33%,20 Jun 2023  16:36
115.12,127.12,94.97%,91.02%,20 Jun 2023  16:36
96.74,100.73,96.09%,65.54%,19 Jun 2023  10:28
102.4,112.0,95.00%,80.97%,19 Jun 2023  10:27
96.74,115.12,89.19%,78.15%,19 Jun 2023  10:27
99.2,116.8,91.78%,82.22%,17 Jun 2023  21:38
118.32,132.71,90.64%,76.73%,17 Jun 2023  21:38
107.93,112.72,97.92%,79.24%,05 Jun 2023  13:49
97.53,112.72,91.61%,80.15%,05 Jun 2023  13:48
131.11,135.11,97.67%,84.44%,24 May 2023  13:26
121.52,125.52,96.88%,82.66%,24 May 2023  13:25
121.52,135.11,94.71%,77.99%,24 May 2023  13:25
111.93,139.11,89.66%,89.19%,24 May 2023  13:24
125.43,136.62,95.32%,80.84%,20 May 2023  23:17
108.66,120.64,90.91%,71.45%,20 May 2023  14:26
96.8,111.2,89.58%,69.86%,20 May 2023  14:25
114.32,125.52,93.21%,82.05%,20 May 2023  14:25
112.8,130.4,92.73%,81.22%,20 May 2023  14:25
72.0,106.4,85.29%,64.79%,18 May 2023  17:16
104.73,118.32,90.13%,72.12%,16 May 2023  17:48
63.16,76.75,87.50%,78.05%,14 May 2023  16:59
108.0,135.2,90.00%,75.75%,14 May 2023  16:54
67.2,84.0,92.38%,86.20%,14 May 2023  16:19
105.6,117.6,93.88%,83.67%,14 May 2023  10:18
111.93,122.32,94.23%,70.88%,14 May 2023  10:18
126.32,131.91,95.81%,77.07%,10 May 2023  15:37
135.91,140.71,98.86%,86.63%,10 May 2023  15:36
136.0,144.8,96.69%,87.72%,10 May 2023  15:36
116.8,123.2,97.42%,78.03%,10 May 2023  14:30
122.32,132.71,94.64%,71.73%,10 May 2023  14:30
116.8,144.0,90.06%,79.82%,10 May 2023  14:27
118.32,119.12,96.75%,76.55%,08 May 2023  14:45
119.12,126.32,96.27%,76.07%,08 May 2023  14:44
119.92,133.51,93.41%,86.94%,05 May 2023  22:07
120.8,131.2,92.77%,77.51%,05 May 2023  22:06
113.6,120.0,95.39%,75.33%,05 May 2023  22:06
106.26,121.44,93.42%,84.35%,03 May 2023  10:44
126.95,148.5,91.94%,84.76%,03 May 2023  10:44
130.4,140.8,93.82%,72.85%,01 May 2023  13:24
133.51,138.31,98.27%,87.00%,29 Apr 2023  21:05
88.8,116.0,85.03%,78.21%,29 Apr 2023  21:04
112.0,135.2,89.66%,73.14%,29 Apr 2023  21:04
123.12,127.91,97.52%,81.22%,29 Apr 2023  16:45
103.93,108.73,97.06%,83.66%,28 Apr 2023  21:37
111.93,122.32,93.51%,81.36%,28 Apr 2023  21:35
116.72,116.72,97.99%,78.11%,28 Apr 2023  21:34
96.74,111.13,92.86%,67.59%,28 Apr 2023  21:33
112.72,125.52,96.18%,85.67%,23 Apr 2023  10:21
127.12,135.91,95.93%,84.77%,23 Apr 2023  10:20
76.75,107.13,83.57%,68.79%,22 Apr 2023  04:01
113.6,124.8,96.82%,78.82%,20 Apr 2023  18:55
109.53,137.51,89.66%,80.39%,20 Apr 2023  18:55
103.2,123.2,89.10%,74.49%,11 Apr 2023  09:33
127.12,139.91,95.43%,79.56%,05 Apr 2023  09:32
98.27,123.83,90.45%,70.02%,05 Apr 2023  09:17
122.24,125.43,95.65%,82.17%,04 Apr 2023  15:12
118.16,135.73,92.44%,83.00%,04 Apr 2023  13:17
96.67,123.04,88.54%,76.37%,03 Apr 2023  20:13
115.12,119.92,96.08%,86.51%,03 Apr 2023  20:11
105.53,133.51,89.82%,86.94%,03 Apr 2023  20:10
124.72,128.71,95.78%,81.49%,03 Apr 2023  20:09
131.91,149.5,92.55%,79.84%,03 Apr 2023  20:09
122.4,132.0,94.61%,80.63%,03 Apr 2023  18:23
104.73,113.52,95.10%,76.43%,03 Apr 2023  16:26
131.11,139.11,95.98%,87.89%,03 Apr 2023  15:55
121.52,124.72,98.10%,77.57%,03 Apr 2023  15:52
121.52,133.51,95.81%,83.64%,03 Apr 2023  08:59
121.52,127.91,97.53%,77.52%,03 Apr 2023  08:34
132.62,139.01,98.28%,90.66%,31 Mar 2023  22:37
128.71,157.5,90.36%,84.81%,31 Mar 2023  14:07
116.0,131.2,94.55%,84.08%,27 Mar 2023  16:46
122.32,132.71,94.01%,82.38%,26 Mar 2023  18:49
117.52,135.11,92.94%,85.71%,23 Mar 2023  10:15
115.92,127.91,96.25%,84.44%,20 Mar 2023  22:28
100.73,106.33,97.06%,74.38%,20 Mar 2023  08:12
116.0,122.4,96.75%,85.57%,20 Mar 2023  08:12
116.72,123.92,96.18%,82.60%,20 Mar 2023  08:11
112.72,119.12,96.75%,74.24%,20 Mar 2023  08:11
113.52,126.32,95.03%,85.38%,19 Mar 2023  12:05
119.12,136.71,93.60%,84.44%,19 Mar 2023  11:04
97.6,122.4,93.55%,72.94%,19 Mar 2023  08:58
128.71,150.3,93.09%,90.85%,19 Mar 2023  08:58
106.33,123.12,91.72%,80.62%,18 Mar 2023  21:02
129.51,145.5,93.51%,81.59%,18 Mar 2023  21:01
119.12,129.51,97.55%,83.93%,18 Mar 2023  19:10
121.6,138.4,94.80%,82.99%,18 Mar 2023  18:31
120.72,131.11,96.34%,83.82%,18 Mar 2023  09:55
112.72,117.52,96.64%,81.45%,16 Mar 2023  19:04
105.53,128.71,85.03%,72.20%,16 Mar 2023  19:04
122.32,139.91,93.75%,86.63%,16 Mar 2023  19:03
121.44,133.42,96.41%,83.98%,16 Mar 2023  13:45
123.92,136.71,94.25%,80.65%,16 Mar 2023  13:45
127.91,142.31,96.09%,86.16%,15 Mar 2023  18:52
111.93,126.32,93.17%,79.46%,15 Mar 2023  13:40
129.43,129.43,98.79%,74.07%,14 Mar 2023  05:47
122.4,142.4,94.94%,88.54%,13 Mar 2023  22:22
135.91,146.3,96.77%,82.63%,13 Mar 2023  22:06
105.6,119.2,94.12%,68.96%,13 Mar 2023  22:05
121.52,137.51,94.77%,85.45%,13 Mar 2023  22:05
116.72,132.71,92.26%,81.79%,13 Mar 2023  17:44
99.2,148.8,82.89%,82.95%,13 Mar 2023  17:44
127.12,140.71,91.48%,79.96%,13 Mar 2023  17:43
127.12,127.12,100.00%,80.88%,13 Mar 2023  16:38
98.27,124.63,90.45%,82.60%,13 Mar 2023  15:08
111.13,127.91,95.63%,81.67%,11 Mar 2023  22:44
137.51,143.1,96.11%,84.19%,11 Mar 2023  22:43
112.72,142.31,85.47%,79.37%,11 Mar 2023  20:02
126.23,140.61,94.41%,86.16%,11 Mar 2023  20:01
113.6,128.8,92.55%,88.48%,11 Mar 2023  19:56
115.2,115.2,100.00%,78.55%,11 Mar 2023  17:36
