wpm,raw,accuracy,consistency,date,epoch,song,track uri,tempo (bpm),artist genres
113.45,123.83,95.48%,85.57%,21 Jun 2023  16:23,1687389780,no_matches,no_matches,no_matches,no_matches
143.9,143.9,100.00%,65.45%,21 Jun 2023  16:20,1687389600,no_matches,no_matches,no_matches,no_matches
106.33,112.72,97.89%,81.16%,20 Jun 2023  16:45,1687304700,no_matches,no_matches,no_matches,no_matches
127.2,132.8,97.59%,86.21%,20 Jun 2023  16:44,1687304640,no_matches,no_matches,no_matches,no_matches
91.94,110.33,90.71%,78.33%,20 Jun 2023  16:36,1687304160,no_matches,no_matches,no_matches,no_matches
115.12,127.12,94.97%,91.02%,20 Jun 2023  16:36,1687304160,no_matches,no_matches,no_matches,no_matches
96.74,100.73,96.09%,65.54%,19 Jun 2023  10:28,1687195680,no_matches,no_matches,no_matches,no_matches
102.4,112.0,95.00%,80.97%,19 Jun 2023  10:27,1687195620,no_matches,no_matches,no_matches,no_matches
96.74,115.12,89.19%,78.15%,19 Jun 2023  10:27,1687195620,no_matches,no_matches,no_matches,no_matches
99.2,116.8,91.78%,82.22%,17 Jun 2023  21:38,1687063080,no_matches,no_matches,no_matches,no_matches
118.32,132.71,90.64%,76.73%,17 Jun 2023  21:38,1687063080,no_matches,no_matches,no_matches,no_matches
107.93,112.72,97.92%,79.24%,05 Jun 2023  13:49,1685998140,no_matches,no_matches,no_matches,no_matches
97.53,112.72,91.61%,80.15%,05 Jun 2023  13:48,1685998080,no_matches,no_matches,no_matches,no_matches
131.11,135.11,97.67%,84.44%,24 May 2023  13:26,1684959960,no_matches,no_matches,no_matches,no_matches
121.52,125.52,96.88%,82.66%,24 May 2023  13:25,1684959900,no_matches,no_matches,no_matches,no_matches
121.52,135.11,94.71%,77.99%,24 May 2023  13:25,1684959900,no_matches,no_matches,no_matches,no_matches
111.93,139.11,89.66%,89.19%,24 May 2023  13:24,1684959840,no_matches,no_matches,no_matches,no_matches
125.43,136.62,95.32%,80.84%,20 May 2023  23:17,1684649820,no_matches,no_matches,no_matches,no_matches
108.66,120.64,90.91%,71.45%,20 May 2023  14:26,1684617960,All Comes Crashing,spotify:track:4XRvI0XtqdOGYeC36VkbwA,111.021,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
96.8,111.2,89.58%,69.86%,20 May 2023  14:25,1684617900,All Comes Crashing,spotify:track:4XRvI0XtqdOGYeC36VkbwA,111.021,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
114.32,125.52,93.21%,82.05%,20 May 2023  14:25,1684617900,All Comes Crashing,spotify:track:4XRvI0XtqdOGYeC36VkbwA,111.021,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
112.8,130.4,92.73%,81.22%,20 May 2023  14:25,1684617900,All Comes Crashing,spotify:track:4XRvI0XtqdOGYeC36VkbwA,111.021,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
72.0,106.4,85.29%,64.79%,18 May 2023  17:16,1684455360,no_matches,no_matches,no_matches,no_matches
104.73,118.32,90.13%,72.12%,16 May 2023  17:48,1684284480,no_matches,no_matches,no_matches,no_matches
63.16,76.75,87.50%,78.05%,14 May 2023  16:59,1684108740,no_matches,no_matches,no_matches,no_matches
108.0,135.2,90.00%,75.75%,14 May 2023  16:54,1684108440,no_matches,no_matches,no_matches,no_matches
67.2,84.0,92.38%,86.20%,14 May 2023  16:19,1684106340,no_matches,no_matches,no_matches,no_matches
105.6,117.6,93.88%,83.67%,14 May 2023  10:18,1684084680,no_matches,no_matches,no_matches,no_matches
111.93,122.32,94.23%,70.88%,14 May 2023  10:18,1684084680,no_matches,no_matches,no_matches,no_matches
126.32,131.91,95.81%,77.07%,10 May 2023  15:37,1683758220,Clean,spotify:track:4bXCcoesMt8u99xMsbLr9U,103.97,sleep
135.91,140.71,98.86%,86.63%,10 May 2023  15:36,1683758160,Clean,spotify:track:4bXCcoesMt8u99xMsbLr9U,103.97,sleep
136.0,144.8,96.69%,87.72%,10 May 2023  15:36,1683758160,Clean,spotify:track:4bXCcoesMt8u99xMsbLr9U,103.97,sleep
116.8,123.2,97.42%,78.03%,10 May 2023  14:30,1683754200,Perfect Places,spotify:track:7ARveOiD31w2Nq0n5FsSf8,104.41,"art pop, metropopolis, nz pop, pop"
122.32,132.71,94.64%,71.73%,10 May 2023  14:30,1683754200,Perfect Places,spotify:track:7ARveOiD31w2Nq0n5FsSf8,104.41,"art pop, metropopolis, nz pop, pop"
116.8,144.0,90.06%,79.82%,10 May 2023  14:27,1683754020,Perfect Places,spotify:track:7ARveOiD31w2Nq0n5FsSf8,104.41,"art pop, metropopolis, nz pop, pop"
118.32,119.12,96.75%,76.55%,08 May 2023  14:45,1683582300,no_matches,no_matches,no_matches,no_matches
119.12,126.32,96.27%,76.07%,08 May 2023  14:44,1683582240,no_matches,no_matches,no_matches,no_matches
119.92,133.51,93.41%,86.94%,05 May 2023  22:07,1683349620,no_matches,no_matches,no_matches,no_matches
120.8,131.2,92.77%,77.51%,05 May 2023  22:06,1683349560,Moon and Star,spotify:track:6BE9BahR3PqQCZqeesvii3,139.977,aesthetic rap
113.6,120.0,95.39%,75.33%,05 May 2023  22:06,1683349560,Moon and Star,spotify:track:6BE9BahR3PqQCZqeesvii3,139.977,aesthetic rap
106.26,121.44,93.42%,84.35%,03 May 2023  10:44,1683135840,A World Alone,spotify:track:55N0YHhO55Q1lWsc4dDPcI,118.017,"art pop, metropopolis, nz pop, pop"
126.95,148.5,91.94%,84.76%,03 May 2023  10:44,1683135840,A World Alone,spotify:track:55N0YHhO55Q1lWsc4dDPcI,118.017,"art pop, metropopolis, nz pop, pop"
130.4,140.8,93.82%,72.85%,01 May 2023  13:24,1682972640,no_matches,no_matches,no_matches,no_matches
133.51,138.31,98.27%,87.00%,29 Apr 2023  21:05,1682827500,Västanberg,spotify:track:5y12KD8jBz0yS4S6Ezg7xw,102.526,"folktronica, gothenburg indie"
88.8,116.0,85.03%,78.21%,29 Apr 2023  21:04,1682827440,Valentine,spotify:track:3i2ZOHAZKXZYnCoNjkikaA,126.02,gen z singer-songwriter
112.0,135.2,89.66%,73.14%,29 Apr 2023  21:04,1682827440,Valentine,spotify:track:3i2ZOHAZKXZYnCoNjkikaA,126.02,gen z singer-songwriter
123.12,127.91,97.52%,81.22%,29 Apr 2023  16:45,1682811900,Valentine,spotify:track:3i2ZOHAZKXZYnCoNjkikaA,126.02,gen z singer-songwriter
103.93,108.73,97.06%,83.66%,28 Apr 2023  21:37,1682743020,no_matches,no_matches,no_matches,no_matches
111.93,122.32,93.51%,81.36%,28 Apr 2023  21:35,1682742900,no_matches,no_matches,no_matches,no_matches
116.72,116.72,97.99%,78.11%,28 Apr 2023  21:34,1682742840,no_matches,no_matches,no_matches,no_matches
96.74,111.13,92.86%,67.59%,28 Apr 2023  21:33,1682742780,no_matches,no_matches,no_matches,no_matches
112.72,125.52,96.18%,85.67%,23 Apr 2023  10:21,1682270460,no_matches,no_matches,no_matches,no_matches
127.12,135.91,95.93%,84.77%,23 Apr 2023  10:20,1682270400,no_matches,no_matches,no_matches,no_matches
76.75,107.13,83.57%,68.79%,22 Apr 2023  04:01,1682161260,Breathing Underwater,spotify:track:1KZjU7csKHOLRiRPBWZIJS,141.13,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
113.6,124.8,96.82%,78.82%,20 Apr 2023  18:55,1682042100,no_matches,no_matches,no_matches,no_matches
109.53,137.51,89.66%,80.39%,20 Apr 2023  18:55,1682042100,no_matches,no_matches,no_matches,no_matches
103.2,123.2,89.10%,74.49%,11 Apr 2023  09:33,1681230780,no_matches,no_matches,no_matches,no_matches
127.12,139.91,95.43%,79.56%,05 Apr 2023  09:32,1680712320,no_matches,no_matches,no_matches,no_matches
98.27,123.83,90.45%,70.02%,05 Apr 2023  09:17,1680711420,no_matches,no_matches,no_matches,no_matches
122.24,125.43,95.65%,82.17%,04 Apr 2023  15:12,1680646320,no_matches,no_matches,no_matches,no_matches
118.16,135.73,92.44%,83.00%,04 Apr 2023  13:17,1680639420,no_matches,no_matches,no_matches,no_matches
96.67,123.04,88.54%,76.37%,03 Apr 2023  20:13,1680577980,Dreams So Real,spotify:track:0taKGYMFLrCjPWd0yOlkol,81.647,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
115.12,119.92,96.08%,86.51%,03 Apr 2023  20:11,1680577860,Breathing Underwater,spotify:track:1KZjU7csKHOLRiRPBWZIJS,141.13,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
105.53,133.51,89.82%,86.94%,03 Apr 2023  20:10,1680577800,Speed The Collapse,spotify:track:4WMFaAJHpY7DtQbyYeqwz4,95.003,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
124.72,128.71,95.78%,81.49%,03 Apr 2023  20:09,1680577740,Speed The Collapse,spotify:track:4WMFaAJHpY7DtQbyYeqwz4,95.003,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
131.91,149.5,92.55%,79.84%,03 Apr 2023  20:09,1680577740,Speed The Collapse,spotify:track:4WMFaAJHpY7DtQbyYeqwz4,95.003,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
122.4,132.0,94.61%,80.63%,03 Apr 2023  18:23,1680571380,no_matches,no_matches,no_matches,no_matches
104.73,113.52,95.10%,76.43%,03 Apr 2023  16:26,1680564360,no_matches,no_matches,no_matches,no_matches
131.11,139.11,95.98%,87.89%,03 Apr 2023  15:55,1680562500,no_matches,no_matches,no_matches,no_matches
121.52,124.72,98.10%,77.57%,03 Apr 2023  15:52,1680562320,no_matches,no_matches,no_matches,no_matches
121.52,133.51,95.81%,83.64%,03 Apr 2023  08:59,1680537540,no_matches,no_matches,no_matches,no_matches
121.52,127.91,97.53%,77.52%,03 Apr 2023  08:34,1680536040,no_matches,no_matches,no_matches,no_matches
132.62,139.01,98.28%,90.66%,31 Mar 2023  22:37,1680327420,no_matches,no_matches,no_matches,no_matches
128.71,157.5,90.36%,84.81%,31 Mar 2023  14:07,1680296820,no_matches,no_matches,no_matches,no_matches
116.0,131.2,94.55%,84.08%,27 Mar 2023  16:46,1679960760,no_matches,no_matches,no_matches,no_matches
122.32,132.71,94.01%,82.38%,26 Mar 2023  18:49,1679881740,no_matches,no_matches,no_matches,no_matches
117.52,135.11,92.94%,85.71%,23 Mar 2023  10:15,1679591700,Dark Saturday,spotify:track:7hXFB9EQGSMDhRINv4iyyV,133.477,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
115.92,127.91,96.25%,84.44%,20 Mar 2023  22:28,1679376480,no_matches,no_matches,no_matches,no_matches
100.73,106.33,97.06%,74.38%,20 Mar 2023  08:12,1679325120,Sober II (Melodrama),spotify:track:54ucfuN596MU25jQD3KjCL,112.948,"art pop, metropopolis, nz pop, pop"
116.0,122.4,96.75%,85.57%,20 Mar 2023  08:12,1679325120,Sober II (Melodrama),spotify:track:54ucfuN596MU25jQD3KjCL,112.948,"art pop, metropopolis, nz pop, pop"
116.72,123.92,96.18%,82.60%,20 Mar 2023  08:11,1679325060,Sober II (Melodrama),spotify:track:54ucfuN596MU25jQD3KjCL,112.948,"art pop, metropopolis, nz pop, pop"
112.72,119.12,96.75%,74.24%,20 Mar 2023  08:11,1679325060,Sober II (Melodrama),spotify:track:54ucfuN596MU25jQD3KjCL,112.948,"art pop, metropopolis, nz pop, pop"
113.52,126.32,95.03%,85.38%,19 Mar 2023  12:05,1679252700,no_matches,no_matches,no_matches,no_matches
119.12,136.71,93.60%,84.44%,19 Mar 2023  11:04,1679249040,400 Lux,spotify:track:6rjtB7KSIiJ6v9vrACMlqF,183.991,"art pop, metropopolis, nz pop, pop"
97.6,122.4,93.55%,72.94%,19 Mar 2023  08:58,1679241480,Tornado,spotify:track:0uDxlXYLSkZXOnEps0kl2l,153.875,"alternative metal, hard rock, melodic thrash, metal, nu metal, old school thrash, rock, speed metal, thrash metal"
128.71,150.3,93.09%,90.85%,19 Mar 2023  08:58,1679241480,Tornado,spotify:track:0uDxlXYLSkZXOnEps0kl2l,153.875,"alternative metal, hard rock, melodic thrash, metal, nu metal, old school thrash, rock, speed metal, thrash metal"
106.33,123.12,91.72%,80.62%,18 Mar 2023  21:02,1679198520,Underline the Black,spotify:track:2IalHERNOUCeHMCqEbwCSs,125.03,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
129.51,145.5,93.51%,81.59%,18 Mar 2023  21:01,1679198460,Underline the Black,spotify:track:2IalHERNOUCeHMCqEbwCSs,125.03,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
119.12,129.51,97.55%,83.93%,18 Mar 2023  19:10,1679191800,For Kicks,spotify:track:15aH0Y46kj4xJBRFNxKdzu,109.985,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
121.6,138.4,94.80%,82.99%,18 Mar 2023  18:31,1679189460,no_matches,no_matches,no_matches,no_matches
120.72,131.11,96.34%,83.82%,18 Mar 2023  09:55,1679158500,no_matches,no_matches,no_matches,no_matches
